SV,Label,Phylum,Class,Order,Family,Genus,Total_reads
SV1,"Hados.Sed.Eubac.3
(SV1)",Fusobacteria,Fusobacteriia,Fusobacteriales,Hados.Sed.Eubac.3,NA,276597
SV8,"Desulfovibrio
(SV8)",Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,23923
SV9,"Mucinivorans
(SV9)",Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans,23906
SV16,"Treponema_2
(SV16)",Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema_2,15770
SV17,"FukuN18_freshwater_group
(SV17)",Verrucomicrobia,Spartobacteria,Chthoniobacterales,FukuN18_freshwater_group,NA,15577
SV18,"Mucispirillum
(SV18)",Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,15490
SV30,"Mycoplasma
(SV30)",Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,11836
SV31,"Cetobacterium
(SV31)",Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,11748
SV38,"Porphyromonadaceae
(SV38)",Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,10366
SV40,"Desulfovibrio
(SV40)",Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,9848
SV41,"Treponema_2
(SV41)",Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema_2,9771
SV43,"Clostridium_sensu_stricto_1
(SV43)",Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,9518
SV48,"Mucispirillum
(SV48)",Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,8823
SV49,"Desulfovibrio
(SV49)",Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,8792
SV52,"Polynucleobacter
(SV52)",Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,8447
SV53,"Clostridium_sensu_stricto_1
(SV53)",Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,8222
SV61,"Dielma
(SV61)",Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma,7671
SV66,"Methylocystis
(SV66)",Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,7350
SV67,"Methyloparacoccus
(SV67)",Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methyloparacoccus,7283
SV74,"Macellibacteroides
(SV74)",Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Macellibacteroides,6601
SV76,"Candidatus_Planktophila
(SV76)",Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,6530
SV85,"FamilyI
(SV85)",Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,NA,6056
SV88,"Akkermansia
(SV88)",Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,5962
SV90,"Mucispirillum
(SV90)",Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,5936
SV91,"Mucispirillum
(SV91)",Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,5834
SV92,"Hados.Sed.Eubac.3
(SV92)",Fusobacteria,Fusobacteriia,Fusobacteriales,Hados.Sed.Eubac.3,NA,5732
SV100,"FukuN18_freshwater_group
(SV100)",Verrucomicrobia,Spartobacteria,Chthoniobacterales,FukuN18_freshwater_group,NA,5400
SV107,"M2PB4-65_termite_group
(SV107)",Bacteroidetes,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,NA,5189
SV110,"Mucinivorans
(SV110)",Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans,5109
SV112,"Mucispirillum
(SV112)",Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,4905
SV113,"hgcI_clade
(SV113)",Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,4819
SV118,"Clostridium_sensu_stricto_1
(SV118)",Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,4715
SV119,"Desulfovibrio
(SV119)",Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,4698
SV122,"Desulfovibrionaceae
(SV122)",Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,NA,4606
SV126,"Mucispirillum
(SV126)",Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,4598
SV134,"Cetobacterium
(SV134)",Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,4390
SV137,"Mucispirillum
(SV137)",Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,4300
SV140,"Romboutsia
(SV140)",Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,4219
SV142,"Treponema_2
(SV142)",Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema_2,4165
SV148,"Desulfovibrio
(SV148)",Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,4088
SV158,"Synergistaceae
(SV158)",Synergistetes,Synergistia,Synergistales,Synergistaceae,NA,3845
SV157,"Planktothrix
(SV157)",Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothrix,3794
SV177,"Synergistaceae
(SV177)",Synergistetes,Synergistia,Synergistales,Synergistaceae,NA,3615
SV184,"Macellibacteroides
(SV184)",Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Macellibacteroides,3541
SV185,"OPB56
(SV185)",Chlorobi,Chlorobia,Chlorobiales,OPB56,NA,3489
SV188,"Desulfovibrio
(SV188)",Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,3458
SV190,"Turicibacter
(SV190)",Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,3423
SV198,"Cetobacterium
(SV198)",Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,3244
SV203,"Brevinema
(SV203)",Spirochaetae,Spirochaetes,Spirochaetales,Brevinemataceae,Brevinema,3213
SV206,"Candidatus_Methylopumilus
(SV206)",Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Candidatus_Methylopumilus,3177
